year	amnh_amcc_tissue	sample_code	used_for_species_delimitation	host_family	host_genus	host_species	host_genus_species	host_weight	host_sex	site	site_lat	site_long	leuco_lin_1	leuco_lin_2	tissue_or_blood	leuco_morphotype
2016	243853	PRS4372	yes	Corvidae	Perisoreus	canadensis	Perisoreus_canadensis	81.5	M	Steese1	65.23043	-146.94366	PERCAN01		tissue	no_smear
2016	243855	PRS4373		Corvidae	Perisoreus	canadensis	Perisoreus_canadensis	79.5	M	Steese1	65.23043	-146.94366			tissue	
2016	243857	PRS4374		Turdidae	Catharus	ustulatus	Catharus_ustulatus	27.8	U	Steese1	65.23043	-146.94366	CATMIN05	CATUST09	blood	
2016	243859	PRS4375		Tyrannidae	Empidonax	flaviventris	Empidonax_flaviventris	10.3	M	Steese1	65.23043	-146.94366	ACAFLA03	EMPALN01	tissue	
2016	243861	PRS4376		Emberizidae	Junco	hyemalis	Junco_hyemalis	14.6	U	Steese1	65.23043	-146.94366	ACAFLA03	TRPIP2	blood	
2016	243863	PRS4377		Emberizidae	Junco	hyemalis	Junco_hyemalis	14.8	M	Steese1	65.23043	-146.94366	ZOLEU02		tissue	
2016	243865	PRS4378		Turdidae	Catharus	ustulatus	Catharus_ustulatus	29.6	F	Steese1	65.23043	-146.94366	CATUST09	CATUST25	blood	
2016	243867	PRS4379	yes	Emberizidae	Junco	hyemalis	Junco_hyemalis	16.4	M	Steese1	65.23043	-146.94366	ZOLEU02		blood	fringillinarum
2016	243870	PRS4381		Parulidae	Oreothlypis	celata	Oreothlypis_celata	8	M	Steese1	65.23043	-146.94366	CB1	CNEORN01	tissue	
2016	243872	PRS4382		Tyrannidae	Empidonax	alnorum	Empidonax_alnorum	14.3	M	Steese1	65.23043	-146.94366			blood	
2016		PRS4385		Paridae	Poecile	hudsonicus	Poecile_hudsonicus	13.7	F	Steese1	65.23043	-146.94366	EMPHAM01	cannot_parse	tissue	
2016	243883	PRS4386		Tyrannidae	Empidonax	hammondii	Empidonax_hammondii	9.8	F	Steese2	65.163393	-147.321237			blood	
2016	243886	PRS4387	yes	Emberizidae	Junco	hyemalis	Junco_hyemalis	18.3	M	Steese2	65.163393	-147.321237	JUNHYE04		blood	majoris
2016	243888	PRS4388		Parulidae	Setophaga	coronata	Setophaga_coronata	11.8	M	Steese2	65.163393	-147.321237			blood	
2016	243890	PRS4389	yes	Turdidae	Catharus	ustulatus	Catharus_ustulatus	31.7	F	Steese2	65.163393	-147.321237	CATUST09		blood	no_smear
2016	243892	PRS4390		Tyrannidae	Empidonax	hammondii	Empidonax_hammondii	9.6	U	Steese2	65.163393	-147.321237			blood	
2016	243894	PRS4391		Turdidae	Catharus	ustulatus	Catharus_ustulatus	23.5	M	Steese2	65.163393	-147.321237	CATUST09	CATUST23	blood	
2016	243895	PRS4392	yes	Corvidae	Perisoreus	canadensis	Perisoreus_canadensis	67	F	Steese2	65.163393	-147.321237	PERCAN01		tissue	no_smear
2016	243897	PRS4393		Turdidae	Turdus	migratorius	Turdus_migratorius	79	M	Steese2	65.163393	-147.321237	TUMIG09		blood	
2016	243899	PRS4394		Turdidae	Turdus	migratorius	Turdus_migratorius	65.2	F	Steese2	65.163393	-147.321237			blood	
2016	243900	PRS4395		Turdidae	Turdus	migratorius	Turdus_migratorius	78	F	Steese2	65.163393	-147.321237			blood	
2016	243902	PRS4396		Emberizidae	Junco	hyemalis	Junco_hyemalis	17	U	Steese2	65.163393	-147.321237	CB1	ZOLEU02	blood	
2016	243903	PRS4397		Turdidae	Catharus	ustulatus	Catharus_ustulatus	29.6	F	Steese2	65.163393	-147.321237	CATMIN01		blood	
2016	243906	PRS4398		Turdidae	Turdus	migratorius	Turdus_migratorius	85.5	M	Steese2	65.163393	-147.321237	TUMIG15	TUMIG18	blood	
2016	243907	PRS4399		Turdidae	Turdus	migratorius	Turdus_migratorius	73.6	M	Steese2	65.163393	-147.321237	TUMIG11		blood	
2016	243909	PRS4400		Parulidae	Setophaga	coronata	Setophaga_coronata	11.6	F	Steese2	65.163393	-147.321237			blood	
2016	243911	PRS4401		Turdidae	Turdus	migratorius	Turdus_migratorius	69.5	M	Steese2	65.163393	-147.321237	TUMIG11		blood	
2016	243912	PRS4402		Turdidae	Turdus	migratorius	Turdus_migratorius	68.5	M	Steese2	65.163393	-147.321237	TUMIG14	cannot_parse	blood	
2016	243913	PRS4403		Corvidae	Perisoreus	canadensis	Perisoreus_canadensis	63.5	F	Steese2	65.163393	-147.321237	PERCAN03	ROFI06	blood	
2016	243915	PRS4404	yes	Turdidae	Turdus	migratorius	Turdus_migratorius	69.5	M	Steese2	65.163393	-147.321237	TUMIG15		blood	majoris
